LogTime	Symbol	Signal	Timeframe	BarTime	Close	High	Low	FastMA1	FastMA2	SlowMA1	SlowMA2	MaDiff	SlopeFast	SlopeSlow	SlopeFastAvg5	SlopeSlowAvg5	SwingBarIndex	SwingPrice	SwingToCrossBars	SwingToCrossDistance	ATR	Spread	M5_FastMA	M5_SlowMA	M5_MaDiff	M5_SlopeFast	M5_SlopeSlow	M15_FastMA	M15_SlowMA	M15_MaDiff	M15_SlopeFast	M15_SlopeSlow	H1_FastMA	H1_SlowMA	H1_MaDiff	H1_SlopeFast	H1_SlopeSlow	H4_FastMA	H4_SlowMA	H4_MaDiff	H4_SlopeFast	H4_SlopeSlow	NextCrossBars	NextCrossAtEnd	MaxFavorableExcursion	MaxAdverseExcursion
2025.12.02 09:45:00	BTCUSD#	GC	M5	2025.12.02 09:45	87000.9	87021.2	86976.4	86975.79107247152	86971.60625121677	86974.7359689272	86972.11956581991	1.0551035443204455	4.184821254748385	2.616403107283986	-1.7241326000512345	-1.148437477950938	5	86869.7	4	131.1999999999971	81.03669040060107	2250.0	86975.79107247152	86974.7359689272	1.0551035443204455	4.184821254748385	2.616403107283986	86954.15056264418	86880.11761163393	74.0329510102456	7.341572892633849	11.808238836601959	86614.61938191524	86638.35405218886	-23.734670273624943	63.930103014121414	35.98459478111181	86605.58656286664	86718.17982821434	-112.59326534770662	25.20223952223023	3.8620171785587445	1632	False	7159.800000000003	657.8999999999942
2025.12.04 16:00:00	BTCUSD#	DC	H1	2025.12.04 16:00	91876.4	92809.6	91783.5	92910.16387882509	93082.45785862926	92912.78465500525	93016.42312050579	-2.620776180163375	-172.29397980417707	-103.63846550053859	-69.78650179189863	-32.331735145457785	6	93609.6	5	1733.2000000000116	640.5376984337415	2250.0	92667.47379208081	92739.62307631863	-72.14928423782112	-25.71229868012597	-22.642307631860604	92836.63826337855	92940.00814622764	-103.36988284908875	-32.95637722974061	-30.110814622763428	92910.16387882509	92912.78465500525	-2.620776180163375	-172.29397980417707	-103.63846550053859	92052.28465505343	91108.327523135	943.9571319184324	60.21922415777226	130.52724768649205	175	False	4167.099999999991	2713.100000000006
2025.12.05 03:00:00	BTCUSD#	GC	M15	2025.12.05 03:00	92348.2	92495.8	92213.5	92255.3672761656	92239.89515552652	92251.21716624436	92241.5188828688	4.150109921247349	15.472120639082277	9.698283375561005	9.935080477077282	5.053273967228597	5	92044.3	4	303.8999999999942	244.42212647034984	2250.0	92292.93944134028	92278.79477302363	14.14466831664322	9.010093109958689	6.820522697642446	92255.3672761656	92251.21716624436	4.150109921247349	15.472120639082277	9.698283375561005	92397.77232966048	92510.69162336062	-112.91929370013531	-7.612054943398107	-15.859162336055306	92106.71321595764	91307.23844887188	799.4747670857614	40.89779734041076	104.48615511279786	1536	False	2241.300000000003	7908.899999999994
2025.12.08 02:15:00	BTCUSD#	DC	M5	2025.12.08 02:15	89900.2	90130.7	89900.2	90054.37445788491	90080.07020086572	90057.09932454674	90072.78925700142	-2.7248666618252173	-25.695742980809882	-15.689932454683003	18.87653474387189	11.386202674190281	5	90457.7	4	557.5	214.6631495768417	2250.0	90054.37445788491	90057.09932454674	-2.7248666618252173	-25.695742980809882	-15.689932454683003	90199.15262480627	90281.0088021873	-81.85617738102155	5.70789586562023	-4.760880218731472	90196.22601256282	90032.43453254281	163.79148002000875	22.84566457287292	30.086546745718806	90074.66378786694	90144.76849567135	-70.10470780440664	137.3227020221675	75.38315043287002	1011	False	508.6999999999971	4689.300000000003
2025.12.11 14:30:00	BTCUSD#	GC	M5	2025.12.11 14:30	90333.4	90369.7	90271.5	90259.059434489	90246.66934023716	90256.37232667234	90248.66955933957	2.6871078166586813	12.390094251837581	7.702767332768417	3.328077343883342	1.4732129686541158	5	90112.3	4	221.09999999999127	80.09585893260144	2250.0	90259.059434489	90256.37232667234	2.6871078166586813	12.390094251837581	7.702767332768417	90248.40287004811	90259.05559003704	-10.652719988924218	2.3995216586627066	0.374440996296471	90523.50028810305	90860.49382081964	-336.99353271658765	-83.68338135050726	-83.90938208195439	91166.90874769555	91162.97825245344	3.930495242108009	-180.10145794924756	-107.6678252453421	4	False	-6.19999999999709	214.6999999999971
2025.12.11 14:50:00	BTCUSD#	DC	M5	2025.12.11 14:50	90128.2	90241.1	90118.7	90241.42216872046	90260.29253017386	90246.25315666439	90258.05847233083	-4.830987943932996	-18.870361453402438	-11.805315666439128	-1.0494343033409677	-0.4832805350364652	5	90369.7	4	241.5	80.96034423652364	2250.0	90241.42216872046	90246.25315666439	-4.830987943932996	-18.870361453402438	-11.805315666439128	90215.97388861267	90237.45053639731	-21.47664778464241	-32.42898143544153	-21.605053639723337	90523.50028810305	90860.49382081964	-336.99353271658765	-83.68338135050726	-83.90938208195439	91166.90874769555	91162.97825245344	3.930495242108009	-180.10145794924756	-107.6678252453421	162	False	880.1999999999971	3428.4000000000087
2025.12.11 16:00:00	BTCUSD#	DC	H4	2025.12.11 16:00	89966.8	90645.8	89248.0	90995.4646408819	91166.90874769555	91054.23477495767	91162.97825245344	-58.770134075777605	-171.44410681365116	-108.74347749576555	-184.7444797274715	-102.09165089188609	6	94466.3	5	4499.5	1324.7532557148709	2250.0	90074.48547035849	90098.51346060877	-24.02799025028071	6.385754940260085	1.428653939117794	90139.3750674036	90174.0728603966	-34.697792992999894	-0.2958445672556991	-3.6472860396606848	90327.92266064716	90675.48414943772	-347.561488790554	-133.12044344117749	-114.62841494377062	90995.4646408819	91054.23477495767	-58.770134075777605	-171.44410681365116	-108.74347749576555	51	False	5527.5	3589.800000000003
2025.12.11 23:00:00	BTCUSD#	GC	H1	2025.12.11 23:00	92848.9	93556.6	91682.1	90855.94453918125	90523.78529571145	90836.7181145625	90635.49992601875	19.226424618740566	332.1592434697959	201.21818854376033	134.37904749625596	63.067234575690236	8	89248.0	7	3600.899999999994	958.0801770928083	2250.0	91453.80186015122	91296.14508293779	157.65677721342945	72.78302330814768	59.435491706230096	91212.58935929077	90918.42873402227	294.16062526850146	205.3184401182225	152.60712659776618	90855.94453918125	90836.7181145625	19.226424618740566	332.1592434697959	201.21818854376033	91260.2411207559	91217.38615905243	42.854961703473236	264.77647987400996	163.15138409475912	89	False	341.6000000000058	5285.699999999997
2025.12.12 04:20:00	BTCUSD#	GC	M5	2025.12.12 04:20	92328.0	92408.8	92253.0	92181.12216773361	92156.64252902255	92180.68758439398	92165.95634283338	0.4345833396364469	24.47963871106913	14.731241560599301	11.607209444395266	4.985490570319234	5	91919.05	4	408.9499999999971	196.92117866266818	2250.0	92181.12216773361	92180.68758439398	0.4345833396364469	24.47963871106913	14.731241560599301	92219.22506973315	92116.75900044572	102.46606928743131	26.495821711156168	26.144099955417914	91600.16284504515	91367.43573437142	232.72711067373166	162.80619249248412	120.95642656285781	91538.30776218802	91406.02161905158	132.28614313644357	149.615372968663	102.99783809483051	153	False	417.1999999999971	444.1000000000058
2025.12.12 17:05:00	BTCUSD#	DC	M5	2025.12.12 17:05	91967.7	92260.9	91898.2	92273.8030427401	92324.8202165301	92284.87345025057	92316.59079527564	-11.07040751047316	-51.01717379000911	-31.717345025070244	-5.68535439777479	-2.6258286225027403	5	92661.0	4	693.3000000000029	256.15262281018113	2250.0	92273.8030427401	92284.87345025057	-11.07040751047316	-51.01717379000911	-31.717345025070244	92265.37969664334	92287.32756132408	-21.947864680740167	-48.52994944054808	-31.31275613240723	91948.05452312302	91883.93866112757	64.11586199545127	-335.59242052049376	-194.94386611276423	91524.29730796682	91441.68799327691	82.60931468990748	-241.53288466113736	-136.65879932769167	147	False	2501.0	207.60000000000582
