LogTime	Symbol	Signal	Timeframe	BarTime	Close	High	Low	FastMA1	FastMA2	SlowMA1	SlowMA2	MaDiff	SlopeFast	SlopeSlow	SlopeFastAvg5	SlopeSlowAvg5	SwingBarIndex	SwingPrice	SwingToCrossBars	SwingToCrossDistance	ATR	Spread	M5_FastMA	M5_SlowMA	M5_MaDiff	M5_SlopeFast	M5_SlopeSlow	M15_FastMA	M15_SlowMA	M15_MaDiff	M15_SlopeFast	M15_SlopeSlow	H1_FastMA	H1_SlowMA	H1_MaDiff	H1_SlopeFast	H1_SlopeSlow	H4_FastMA	H4_SlowMA	H4_MaDiff	H4_SlopeFast	H4_SlopeSlow	NextCrossBars	NextCrossAtEnd	MaxFavorableExcursion	MaxAdverseExcursion
2025.09.01 16:15:00	GOLD#	GC	M15	2025.09.01 16:15	3477.99	3478.48	3475.1	3472.5680417116955	3471.6643819969777	3472.3846971589833	3471.8241668748815	0.18334455271224215	0.9036597147178327	0.5605302841017874	0.2398797659898264	0.11268008749366346	5	3467.01	4	10.979999999999563	4.0990168108508	17.0	3472.6283214093924	3471.844434748519	0.7838866608735771	0.6369464317681377	0.4605565251481494	3472.5680417116955	3472.3846971589833	0.18334455271224215	0.9036597147178327	0.5605302841017874	3469.8508072984105	3466.3483949206316	3.50241237777891	0.9081987835984364	0.8951605079369074	3458.0007455226996	3453.5688047264525	4.4319407962470905	3.228209079550197	2.380119527354509	549	False	196.62000000000035	7.789999999999964
2025.09.02 01:55:00	GOLD#	DC	M5	2025.09.02 01:55	3474.98	3475.59	3474.93	3476.867961173667	3477.182621369278	3476.9603106015093	3477.1583416616604	-0.09234942784223676	-0.3146601956109407	-0.1980310601511519	-0.13493768928419742	-0.07188508506569632	5	3479.11	4	4.130000000000109	1.352039752504584	67.0	3476.867961173667	3476.9603106015093	-0.09234942784223676	-0.3146601956109407	-0.1980310601511519	3476.646243181584	3476.2326588421192	0.4135843394647054	-0.27770719693080537	-0.1252658842117853	3473.6710508828355	3470.626430250288	3.0446206325473213	0.2181581861941595	0.43535697497100045	3463.3287109962694	3457.8175245673165	5.511186428952897	2.6352148339551604	2.132247543268477	5	False	0.8699999999998909	6.429999999999836
2025.09.02 02:20:00	GOLD#	GC	M5	2025.09.02 02:20	3479.81	3481.41	3477.22	3477.292555249982	3476.8729811249787	3477.1922035265284	3476.9304238791815	0.10035172345351384	0.419574125003237	0.2617796473468843	0.08491881526297221	0.04637858500382208	5	3474.11	4	5.699999999999818	2.000027016726486	20.0	3477.292555249982	3477.1922035265284	0.10035172345351384	0.419574125003237	0.2617796473468843	3476.799076623205	3476.40095772076	0.39811890244527603	0.17515389613299703	0.14490422792414392	3474.452329328145	3471.400391136626	3.0519381915191843	0.7812784453094537	0.7739608863375906	3463.3287109962694	3457.8175245673165	5.511186428952897	2.6352148339551604	2.132247543268477	974	False	98.59000000000015	9.610000000000127
2025.09.05 14:30:00	GOLD#	DC	M5	2025.09.05 14:30	3548.99	3549.42	3548.55	3550.8497988573513	3551.1597653335766	3550.877677336384	3551.0664450700224	-0.027878479032551695	-0.3099664762253269	-0.18876773363854227	-0.19095945166491218	-0.09175297812726058	5	3555.19	4	6.200000000000273	1.7619790830371256	16.0	3550.8497988573513	3550.877677336384	-0.027878479032551695	-0.3099664762253269	-0.18876773363854227	3550.7729684665874	3550.9376659571476	-0.1646974905602292	0.10117192223606253	0.044233404285023425	3551.4333816836925	3550.4220946335154	1.0112870501770885	0.31276971938450515	0.28879053664877574	3548.8376659971464	3536.362340855899	12.47532514124714	5.2470556671423765	4.395765914409822	903	False	1.0599999999999454	125.62000000000035
2025.09.09 18:00:00	GOLD#	DC	M15	2025.09.09 18:00	3635.05	3646.45	3635.05	3649.835546353858	3652.2998040795005	3650.601201173593	3652.1563212909523	-0.7656548197351185	-2.4642577256427103	-1.5551201173593654	-1.127696222265331	-0.6246039656983158	5	3674.61	4	39.559999999999945	10.673590582181546	16.0	3647.815777194773	3649.7815509479815	-1.9657737532083956	-1.085962865795409	-0.8481550947981304	3649.835546353858	3650.601201173593	-0.7656548197351185	-2.4642577256427103	-1.5551201173593654	3648.127835131715	3643.4937820698324	4.634053061882696	-0.43297252195225155	0.20362179301628203	3623.314447624147	3603.5657947674486	19.7486528566983	3.6159253959758644	4.144420523255121	178	False	22.340000000000146	22.460000000000036
2025.09.10 09:00:00	GOLD#	GC	H1	2025.09.10 09:00	3643.7	3647.6	3640.72	3638.836603457757	3638.0260373673827	3638.71134627061	3638.212480897671	0.12525718714687173	0.8105660903743228	0.4988653729392354	0.5187735126804001	0.25894279766589534	6	3620.25	5	23.449999999999818	8.799543033156944	17.0	3642.1509789788056	3641.5935258191234	0.5574531596821544	-0.1418298298008267	-0.029352581912462483	3640.8343533983316	3638.9112519461946	1.9231014521369616	0.8976077669449296	0.7308748053806084	3638.836603457757	3638.71134627061	0.12525718714687173	0.8105660903743228	0.4988653729392354	3629.2431628991653	3613.7287902243343	15.514372674831066	2.7544728501393365	3.2041209775661628	115	False	59.440000000000055	30.98999999999978
2025.09.10 20:45:00	GOLD#	GC	M5	2025.09.10 20:45	3645.58	3646.02	3645.45	3644.305390124016	3644.092955144685	3644.267138006529	3644.135851807182	0.038252117486990755	0.2124349793307374	0.13128619934695962	0.24142597196569113	0.12404347512656386	5	3641.65	4	3.9299999999998363	1.6238086939547864	17.0	3644.305390124016	3644.267138006529	0.038252117486990755	0.2124349793307374	0.13128619934695962	3645.2204349739527	3645.90348006285	-0.6830450888974156	0.35826083767506134	0.1466519937148405	3645.680753452747	3644.4126494627108	1.268103990036252	0.2815410912094194	0.295735053729004	3634.0654611843147	3620.8425846914606	13.222876492854084	1.087423135948029	1.9747415308543168	85	False	4.079999999999927	10.36999999999989
2025.09.11 04:50:00	GOLD#	DC	M5	2025.09.11 04:50	3641.74	3642.78	3641.16	3644.1679503932787	3644.5726087921585	3644.241616377751	3644.4917780155265	-0.07366598447242723	-0.40465839887974653	-0.2501616377753635	-0.28207870374708366	-0.14124756295632324	5	3649.14	4	7.400000000000091	2.391181954726572	17.0	3644.1679503932787	3644.241616377751	-0.07366598447242723	-0.40465839887974653	-0.2501616377753635	3643.923344760685	3643.743311370591	0.1800333900937403	-0.4805574601141416	-0.27033113705920186	3643.5139480738094	3643.445146325605	0.06880174820435059	-0.4123246789681616	-0.2405146325604619	3634.7685020945987	3623.63106172848	11.13744036611888	-0.6947503490996496	0.6968938271520528	264	False	29.029999999999745	2.1600000000003092
2025.09.11 16:30:00	GOLD#	GC	M15	2025.09.11 16:30	3628.82	3630.56	3618.36	3625.6052727947767	3625.069484927239	3625.485472677165	3625.1520199448814	0.11980011761170317	0.5357878675376924	0.33345273228360384	0.8835710234153339	0.5108356551725592	5	3612.71	4	16.110000000000127	9.611597248111902	19.0	3627.526368333591	3626.9156950564443	0.610673277146816	-0.6743947222648785	-0.3435695056446093	3625.6052727947767	3625.485472677165	0.11980011761170317	0.5357878675376924	0.33345273228360384	3629.2360021265185	3632.199478074017	-2.9634759474984094	0.15733297891392795	-0.20194780740166607	3633.357919686395	3625.4042913061453	7.953628380249484	0.4653467189341427	1.0745708693852976	86	False	27.769999999999982	2.7100000000000364
2025.09.12 03:50:00	GOLD#	GC	M5	2025.09.12 03:50	3637.02	3637.76	3635.16	3633.8702023297974	3633.3452360514298	3633.8677213772025	3633.5524935149233	0.00248095259485126	0.5249662783676285	0.3152278622792437	0.1866898857925662	0.07918312440060618	5	3630.41	4	6.610000000000127	1.9829777570414193	21.0	3633.8702023297974	3633.8677213772025	0.00248095259485126	0.5249662783676285	0.3152278622792437	3634.2233426206844	3634.1678315944077	0.055511026276690245	0.3877762298861853	0.23821684055928927	3633.223480338516	3633.4329614205676	-0.2094810820517523	0.5544199435807968	0.31170385794348476	3633.8778593614334	3627.118009343922	6.759850017511326	0.4453567730947725	0.9431990656080416	883	False	66.11999999999989	10.38000000000011
2025.09.12 15:00:00	GOLD#	DC	M15	2025.09.12 15:00	3645.89	3648.91	3644.19	3647.6925444193275	3647.9929684892154	3647.753668292876	3647.940035122164	-0.061123873548240226	-0.3004240698878675	-0.18636682928809023	-0.047053977647556165	-0.01972202589695371	6	3652.11	5	6.220000000000255	3.4884866888768102	17.0	3647.9487489722346	3648.114870732321	-0.1661217600862983	-0.42479149537211924	-0.2714870732320378	3647.6925444193275	3647.753668292876	-0.061123873548240226	-0.3004240698878675	-0.18636682928809023	3645.671948863917	3643.567994932716	2.1039539312009765	-0.048658143985903735	0.18120050672860089	3638.590080530816	3632.0063030382585	6.583777492557601	1.1316532448640828	1.337369696173937	853	False	19.25	145.20000000000027
2025.09.17 08:25:00	GOLD#	DC	M5	2025.09.17 08:25	3680.7	3680.76	3679.07	3681.8357643533836	3682.0250584122805	3681.8793498619916	3681.997284848191	-0.0435855086079755	-0.18929405889684858	-0.11793498619954335	-0.011221395972006576	0.005785423150882707	5	3685.86	4	5.160000000000309	1.8322898990295675	19.0	3681.8357643533836	3681.8793498619916	-0.0435855086079755	-0.18929405889684858	-0.11793498619954335	3682.245514324267	3683.475438370753	-1.2299240464863033	-0.25758572071072194	-0.2775438370754273	3685.0091394905485	3684.9362636332057	0.07287585734275126	-0.9748565817581039	-0.5776263633206327	3675.647463475007	3667.5656040578715	8.081859417135547	-1.8045772458340252	-0.2745604057872697	1356	False	52.76999999999998	110.39000000000033
2025.09.17 09:00:00	GOLD#	DC	H1	2025.09.17 09:00	3675.01	3680.03	3670.48	3683.5806909918992	3685.0091394905485	3684.033876030187	3684.9362636332057	-0.45318503828775647	-1.4284484986492316	-0.9023876030187239	-1.0166957393989833	-0.5647643110381069	7	3695.36	6	20.34999999999991	7.273296772639456	16.0	3679.589691030133	3680.2003646588773	-0.61067362874428	-0.23994850502231202	-0.20503646588804258	3680.5868836560985	3682.070103959995	-1.4832203038963598	-0.7861472760159813	-0.6200103959995431	3683.5806909918992	3684.033876030187	-0.45318503828775647	-1.4284484986492316	-0.9023876030187239	3675.647463475007	3667.5656040578715	8.081859417135547	-1.8045772458340252	-0.2745604057872697	163	False	47.08000000000038	116.07999999999993
2025.09.18 20:00:00	GOLD#	DC	H4	2025.09.18 20:00	3644.49	3647.15	3640.59	3662.6671237473834	3665.696644371947	3663.1178045100914	3664.9805849611007	-0.4506807627080889	-3.029520624563702	-1.8627804510092574	-2.1563905494495885	-1.1291499862913041	7	3707.5	6	63.01000000000022	20.704172022286325	17.0	3644.2888863393127	3643.7315262960005	0.557360043312201	0.20185227678166484	0.17684737040008258	3644.56830988889	3647.015019552591	-2.446709663701313	-0.07305164814761156	-0.2885019552591075	3652.0798441919824	3656.199990261699	-4.120146069716611	-1.423307365329947	-1.265999026170448	3662.6671237473834	3663.1178045100914	-0.4506807627080889	-3.029520624563702	-1.8627804510092574	6	False	12.179999999999836	40.73000000000002
2025.09.19 20:00:00	GOLD#	GC	H4	2025.09.19 20:00	3685.18	3685.22	3668.06	3662.7408182437416	3659.0009546176984	3662.4305125198007	3660.155563771781	0.31030572394092815	3.7398636260431886	2.2749487480195967	0.6592281491968606	0.2808653203072026	8	3627.93	7	57.25	20.414101101100186	16.0	3669.280615781352	3668.780302916693	0.5003128646590085	0.11323070310845651	0.11796970833029263	3667.058677693316	3664.418136021534	2.6405416717821026	0.5518870511141358	0.5951863978466463	3661.619353305703	3658.5526856780284	3.066667627674633	2.8301077823830383	2.004731432196877	3662.7408182437416	3662.4305125198007	0.31030572394092815	3.7398636260431886	2.2749487480195967	132	False	696.2800000000002	1.5499999999997272
