LogTime	Symbol	Signal	Timeframe	BarTime	Close	High	Low	FastMA1	FastMA2	SlowMA1	SlowMA2	MaDiff	SlopeFast	SlopeSlow	SlopeFastAvg5	SlopeSlowAvg5	SwingBarIndex	SwingPrice	SwingToCrossBars	SwingToCrossDistance	ATR	Spread	M5_FastMA	M5_SlowMA	M5_MaDiff	M5_SlopeFast	M5_SlopeSlow	M15_FastMA	M15_SlowMA	M15_MaDiff	M15_SlopeFast	M15_SlopeSlow	H1_FastMA	H1_SlowMA	H1_MaDiff	H1_SlopeFast	H1_SlopeSlow	H4_FastMA	H4_SlowMA	H4_MaDiff	H4_SlopeFast	H4_SlopeSlow
2026.03.11 19:00:00	BTCUSD#	GC	H1	2026.03.11 18:00	70562.70	70820.70	70158.40	69891.92	69836.51	69882.96	69848.82	8.96	55.41	34.14	22.64	8.54	5	68963.10	4	1599.60	682.18	2250	70531.22	70470.54	60.68	5.21	9.20	70340.88	70199.98	140.90	36.97	36.27	69987.75	69944.75	42.99	95.83	61.79	69697.49	69409.49	288.00	144.20	115.32
2026.03.12 00:35:00	BTCUSD#	DC	M5	2026.03.12 00:30	70360.50	70515.10	70350.80	70593.92	70632.82	70601.23	70625.30	-7.31	-38.90	-24.07	-10.58	-4.87	5	70934.20	4	573.70	127.44	2250	70561.03	70579.63	-18.60	-32.89	-21.59	70558.05	70539.20	18.85	-32.93	-17.87	70357.71	70234.40	123.31	0.46	12.61	69940.85	69620.98	319.87	69.94	73.95
